timestamp,width,height,frame_id,filename
1479424215873184606,640,480,left_camera,left/1479424215873184606.jpg
1479424215877284689,640,480,right_camera,right/1479424215877284689.jpg
1479424215880976321,640,480,center_camera,center/1479424215880976321.jpg
1479424215922817911,640,480,left_camera,left/1479424215922817911.jpg
1479424215927281227,640,480,right_camera,right/1479424215927281227.jpg
1479424215930775951,640,480,center_camera,center/1479424215930775951.jpg
1479424215972815517,640,480,left_camera,left/1479424215972815517.jpg
1479424215977378050,640,480,right_camera,right/1479424215977378050.jpg
1479424215980916687,640,480,center_camera,center/1479424215980916687.jpg
1479424216022820692,640,480,left_camera,left/1479424216022820692.jpg
1479424216027309701,640,480,right_camera,right/1479424216027309701.jpg
1479424216030737492,640,480,center_camera,center/1479424216030737492.jpg
1479424216073039735,640,480,left_camera,left/1479424216073039735.jpg
1479424216077185305,640,480,right_camera,right/1479424216077185305.jpg
1479424216080827865,640,480,center_camera,center/1479424216080827865.jpg
1479424216122856036,640,480,left_camera,left/1479424216122856036.jpg
1479424216127297778,640,480,right_camera,right/1479424216127297778.jpg
1479424216130778849,640,480,center_camera,center/1479424216130778849.jpg
1479424216172794699,640,480,left_camera,left/1479424216172794699.jpg
1479424216177269210,640,480,right_camera,right/1479424216177269210.jpg
1479424216180687241,640,480,center_camera,center/1479424216180687241.jpg
1479424216222706305,640,480,left_camera,left/1479424216222706305.jpg
1479424216227198494,640,480,right_camera,right/1479424216227198494.jpg
1479424216230735818,640,480,center_camera,center/1479424216230735818.jpg
1479424216272749590,640,480,left_camera,left/1479424216272749590.jpg
1479424216277232525,640,480,right_camera,right/1479424216277232525.jpg
1479424216280736012,640,480,center_camera,center/1479424216280736012.jpg
1479424216322795445,640,480,left_camera,left/1479424216322795445.jpg
1479424216327284030,640,480,right_camera,right/1479424216327284030.jpg
1479424216330780633,640,480,center_camera,center/1479424216330780633.jpg
1479424216372784939,640,480,left_camera,left/1479424216372784939.jpg
1479424216377282902,640,480,right_camera,right/1479424216377282902.jpg
1479424216380799785,640,480,center_camera,center/1479424216380799785.jpg
1479424216422780613,640,480,left_camera,left/1479424216422780613.jpg
1479424216427354485,640,480,right_camera,right/1479424216427354485.jpg
