timestamp,gear_state,gear_cmd
1479424214822159632,4,0
1479424214872256882,4,0
1479424214922296694,4,0
1479424214972379501,4,0
1479424215022499920,4,0
1479424215072732261,4,0
1479424215122670292,4,0
1479424215172858560,4,0
1479424215222838391,4,0
1479424215272900329,4,0
1479424215322981045,4,0
1479424215373100817,4,0
1479424215423397355,4,0
1479424215473239577,4,0
1479424215523399858,4,0
1479424215573396687,4,0
1479424215623499278,4,0
1479424215673624943,4,0
1479424215723763180,4,0
1479424215773746065,4,0
1479424215823852043,4,0
1479424215873932901,4,0
1479424215924023217,4,0
1479424215974078778,4,0
1479424216024194637,4,0
1479424216074269315,4,0
1479424216124454105,4,0
1479424216174403037,4,0
1479424216227537933,4,0
1479424216274692051,4,0
1479424216324688547,4,0
1479424216374758972,4,0
1479424216424882690,4,0
1479424216474919722,4,0
1479424216525118691,4,0
1479424216575119410,4,0
1479424216625162095,4,0
1479424216675324867,4,0
1479424216725634755,4,0
1479424216775621541,4,0
1479424216825529162,4,0
1479424216875630675,4,0
1479424216925685321,4,0
1479424216975780126,4,0
1479424217025838468,4,0
1479424217075953229,4,0
1479424217126012180,4,0
1479424217176112074,4,0
1479424217226199294,4,0
1479424217276283381,4,0
1479424217326368317,4,0
1479424217376685990,4,0
1479424217426617678,4,0
1479424217476745085,4,0
1479424217526697276,4,0
1479424217576783537,4,0
1479424217626875498,4,0
1479424217676947256,4,0
1479424217727054754,4,0
1479424217777142891,4,0
1479424217827233978,4,0
1479424217877292122,4,0
1479424217927385822,4,0
1479424217977483708,4,0
1479424218027619950,4,0
1479424218077652787,4,0
1479424218127699169,4,0
1479424218177814021,4,0
1479424218227908686,4,0
1479424218277962642,4,0
1479424218328053057,4,0
1479424218378143385,4,0
1479424218428237828,4,0
1479424218478314520,4,0
1479424218528395433,4,0
1479424218578465801,4,0
1479424218628633197,4,0
1479424218678660805,4,0
1479424218728738865,4,0
1479424218778827001,4,0
1479424218828893803,4,0
1479424218878996999,4,0
1479424218929115321,4,0
1479424218979148353,4,0
1479424219029270983,4,0
1479424219079347982,4,0
1479424219129636027,4,0
1479424219179623546,4,0
1479424219229622411,4,0
1479424219279657003,4,0
1479424219329748098,4,0
1479424219379826207,4,0
1479424219429941911,4,0
1479424219480036434,4,0
1479424219530259374,4,0
1479424219580189506,4,0
1479424219630236916,4,0
1479424219680391327,4,0
1479424219730423472,4,0
1479424219780535349,4,0
1479424219830657943,4,0
